ticker,secShortName,return20
000104,华宸未来信用增利债券,0.000904909132041
000149,华安双债添利债券-A,0.000905986479894
001194,景顺长城稳健回报灵活配置混合-A,0.000908265213442
000421,华泰柏瑞丰汇债券-A,0.000918273645546
000937,华商稳固添利债券-A,0.000924214417745
000107,富国稳健增强债券-A/B,0.000926011667747
000131,大成景兴信用债-C,0.000926651935277
000422,华泰柏瑞丰汇债券-C,0.000931098696462
000473,广发集鑫债券-A,0.0009373668513
000084,博时安盈债-A,0.000940975192472
000469,富国目标齐利一年期纯债债券,0.000944368131868
000394,融通通源短融债券-A,0.000945992432061
000126,招商安润保本混合,0.000946418171229
000142,融通通泰保本混合-A,0.000952910347018
000502,华富恒富分级债-B,0.000957166786312
000502,华富恒富分级债-B,0.000957166786312
000197,富国目标收益一年期纯债债券,0.000961076405574
000622,华富恒财分级债,0.000961538461538
001138,国投瑞银岁丰利一年期定期开放债券-C,0.000961723408348
001138,国投瑞银岁丰利一年期定期开放债券-C,0.000961723408348
000139,富国国有企业债-A/B,0.000964320154291
000624,华富恒财分级债-B,0.000970010508447
000186,华泰柏瑞季季红债券,0.00097205346294
000338,鹏华双债保利债券,0.000984413453651
000091,信诚新双盈分级债券,0.000987556784515
000202,富国目标收益两年期纯债债券,0.000991685101839
000500,华富恒富分级债,0.000994035785288
000500,华富恒富分级债,0.000994035785288
000072,华安保本混合,0.000998391480393
000257,上投摩根岁岁盈定开债券-A,0.00101359912155
000318,中海惠利纯债分级债-B,0.00101962783584
001119,国投瑞银新回报灵活配置混合,0.00102239985129
000302,国泰淘金互联网债券,0.00102502776117
000066,诺安鸿鑫保本混合,0.00103591160221
001124,融通通泰保本混合-C,0.00105135463
000316,中海惠利纯债分级债,0.00106382978723
000754,华宝兴业量化对冲混合-C,0.00131061598951
000694,鑫元鸿利债券,0.00134352170627
001271,英大灵活配置混合-B,0.00135795763172
000306,天弘弘利债券,0.00157728706625
000046,工银产业债券-B,0.00158284768688
000753,华宝兴业量化对冲混合-A,0.00163639338897
000573,天弘通利混合,0.00166468489893
000048,华夏双债债券-C,0.00167809718372
001033,华夏安康债券-C,0.00168794950829
001014,中融融安灵活配置混合,0.00174182310819
000474,广发集鑫债券-C,0.00174476570289
000130,大成景兴信用债-A,0.00175697519151
000801,中金纯债债券-A,0.00178412132025
001270,英大灵活配置混合-A,0.001792917974
001183,南方利淘灵活配置混合-A,0.0018018018018
000898,华富恒稳纯债债券-A,0.00180342651037
000745,北信瑞丰稳定收益债券-C,0.0018220708231
000899,华富恒稳纯债债券-C,0.00182648401826
001324,华宝新价值灵活配置混合,0.00182748538012
000150,华安双债添利债券-C,0.00183111486724
000024,大摩双利增强债券-A,0.0018730800929
000025,大摩双利增强债券-C,0.00188565394479
001001,华夏债券-A/B,0.00191162087668
000649,长城久鑫保本混合,0.00191815856777
000629,圆信永丰纯债债券-A,0.00193704600484
001003,华夏债券-C,0.00195011803346
000388,泰达宏利瑞利分级债券-B,0.00195621096983
001282,华安新机遇保本混合,0.00195694716243
001034,华富旺财保本混合,0.00195771339076
000630,圆信永丰纯债债券-C,0.00196351141291
000317,中海惠利纯债分级债-A,0.00197289414994
000166,中海安鑫保本混合,0.00197572678521
000804,中信建投稳利保本混合,0.00198491464867
000623,华富恒财分级债-A,0.00199082489397
000270,建信安心保本混合,0.00199369734388
000775,天弘瑞利分级债券-A,0.00199963642974
000387,泰达宏利瑞利分级债券-A,0.00199965223439
001137,国投瑞银岁丰利一年期定期开放债券-A,0.00200880045915
001137,国投瑞银岁丰利一年期定期开放债券-A,0.00200880045915
000501,华富恒富分级债-A,0.00203180212014
000501,华富恒富分级债-A,0.00203180212014
001111,中欧瑾泉灵活配置混合-C,0.00214880472737
001239,长盛国企改革主题灵活配置混合,0.00218818380744
000180,广发美国房地产指数-USD,0.00225428313796
001338,安信稳健增值灵活配置混合-C,0.00231521179901
000045,工银产业债券-A,0.00232656514382
000436,易方达裕惠回报定开式混合,0.002331002331
000914,中加纯债债券,0.00233168172544
001123,鹏华弘利灵活配置混合-C,0.00236191860465
000151,诺安信用债券一年定开债券,0.00248891654352
001110,中欧瑾泉灵活配置混合-A,0.00254381006218
001122,鹏华弘利灵活配置混合-A,0.00260744470419
000080,天治可转债增强债券-A,0.00261780104712
000081,天治可转债增强债券-C,0.00265486725664
000708,华安安享灵活配置混合,0.002722323049
001334,南方利鑫灵活配置混合-A,0.002722323049
001174,中欧瑾和灵活配置混合-C,0.00272975432211
000841,富国新回报灵活配置混合-A/B,0.00274977085243
000744,北信瑞丰稳定收益债券-A,0.00275677378702
001139,华安新动力灵活配置混合,0.00277264325323
000843,富国新回报灵活配置混合-C,0.00277520814061
000327,南方丰合保本混合,0.00278035217794
001316,安信稳健增值灵活配置混合-A,0.00279500393047
000723,建信稳定添利债券-C,0.00280643203884
000112,易方达纯债1年定开债券-C,0.00283377864141
000027,泰达信用合利债券-B,0.00287165893528
001165,中欧琪和灵活配置混合-C,0.00287614596441
000859,融通通瑞债券-C,0.00290135396518
001247,华泰柏瑞新利灵活配置混合-A,0.00290223109015
000137,民生加银岁岁增利债券-A,0.0029023142137
000026,泰达信用合利债券-A,0.00290718802239
000675,中海惠祥分级债券-A,0.0029159671291
000749,国金通用鑫安保本混合,0.00291944165678
001034,华富旺财保本混合,0.00293944738389
000092,信诚新双盈分级债券-A,0.00294018817204
000664,国联安通盈灵活配置混合-A,0.00299378214478
000292,鹏华丰信分级债-A,0.00300454974676
000329,鹏华丰饶定期开放债券,0.00301810865191
000769,长城久盈纯债分级债券-A,0.00305563044846
000429,易方达聚盈分级债-A,0.00307794692621
000190,中银新回报灵活配置混合,0.00316169828365
000800,华商未来主题混合,0.00327868852459
001164,中欧琪和灵活配置混合-A,0.00329260895936
000747,广发逆向策略灵活配置混合,0.00330469266358
000128,大成景安短融债-A,0.00347896440129
000435,建信稳定添利债券-A,0.00347980349345
000151,诺安信用债券一年定开债券,0.0035035814388
001191,鹏华弘润灵活配置混合-C,0.00350682908822
001168,国投优选收益灵活配置混合,0.00351895838832
001173,中欧瑾和灵活配置混合-A,0.00358102059087
000004,中海可转换债券-C,0.00358643303617
000184,工银添福债券-A,0.00360576923077
001190,鹏华弘润灵活配置混合-A,0.00364531121845
000590,华安新活力灵活配置混合,0.0036469730124
001273,民生加银新动力灵活配置混合-A,0.00365965233303
000129,大成景安短融债-B,0.00367382796901
000185,工银添福债券-B,0.00367421922841
000572,中银多策略灵活配置混合,0.00367491166078
000111,易方达纯债1年定开债券-A,0.00375489334505
001066,华夏海外收益债券-A-USD-现钞,0.00377714825307
000466,融通通瑞债券-A/B,0.00377822686934
000138,民生加银岁岁增利债券-C,0.00380612086376
000326,南方顺达保本混合,0.00381279191688
001019,兴业年年利定开债券,0.00382792562887
001264,银华恒利灵活配置混合-A,0.00386491211926
000028,华富保本,0.00391644908616
000177,嘉实丰益信用定开债券-A,0.00394309571672
000169,泰达宏利收益增强债券-A,0.00394882325067
000005,嘉实增强信用定开债券,0.00396137657836
000844,南方绝对收益策略定开混合发起,0.00396891020341
000170,泰达宏利收益增强债券-B,0.00401961572474
000183,嘉实丰益策略定开债券,0.00403288351171
000510,诺安永鑫收益一年定开债券,0.00412903225806
000510,诺安永鑫收益一年定开债券,0.00412903225806
001280,银华聚利灵活配置混合-A,0.00419463087248
001065,华夏海外收益债券-A-USD-现汇,0.00424728645588
000200,博时岁岁增利一年定开债券,0.00430835513156
000200,博时岁岁增利一年定开债券,0.00430835513156
000178,博时灵活配置混合,0.00433953580117
000654,华商新锐产业灵活配置混合,0.00434116445352
001207,广发聚惠灵活配置混合-C,0.00438981562774
001254,泰达宏利新起点灵活配置混合-A,0.00443262411348
001330,鹏华弘实灵活配置混合-C,0.00446658649717
001329,鹏华弘实灵活配置混合-A,0.00458211143695
000407,汇添富双利增强债券-C,0.00460829493088
001289,银华汇利灵活配置混合-A,0.00461183704842
001086,华富恒利债券-A,0.00473484848485
001029,国投新动力灵活配置混合,0.00475203041299
000236,工银月月薪定期支付债券-A,0.00475543478261
001087,华富恒利债券-C,0.00478468899522
000112,易方达纯债1年定开债券-C,0.00478624158352
000417,国联安新精选灵活配置混合,0.00480130004432
